guitar|n. 吉他
dry|adj. 干燥的
cold|adj. 寒冷的；冷的
hot|adj. 热的
warm|adj. 温暖的
visit|v. 拜访；参观
Canada|n. 加拿大
summer|n. 夏天；夏季
sit|v. 坐
juice|n. 果汁；饮料
soon|adv. 不久, 很快
vacation|n. 假期
hard|adv. 努力地 adj. 困难的
Europe|n. 欧洲
mountain|n. 高山
country|n. 国；国家
skate|v. 滑冰
snowy|adj. 下雪的
winter|n. 冬天；冬季
Russian|adj. 俄罗斯的 n. 俄罗斯人； 俄语
snowman|n. 雪人
rainy|adj. 阴雨的；多雨的
Moscow|莫斯科
Toronto|多伦多
Boston|波士顿
call someone back|（给某人）回电话
on vacation|度假
post|n. 邮政
office|n. 办公室
post office|邮局
police|n. 警察
police office|警察局
hotel|n. 旅馆；酒店
restaurant|n. 餐馆
bank|n. 银行
hospital|n. 医院
street|n. 大街
pay|v. & n. 付费
pay phone|付费电话
near|prep. 在……附近
across|adv. & prep. 过；穿过
across from|在 ... 对面
front|n. 前面
in front of|在...前面
behind|prep. 在...的后面
town|n. 镇；市镇
around|prep. 在……周围 adv. 在周围；大约
north|n. 北；北方 adj. 北方的
along|prep. 沿着
turn|v. 转向；翻
right|adv. 向右边 n. 右边
left|adv. 向左边 n. 左边
crossing|n. 十字路口
neighborhood|n. 街区；街坊
spend|v. 花（时间、钱等）
monkey|n. 猴子
climb|v. 爬
road|n. 路
often|adv. 时常；常常
air|n. 空气
sunshine|n. 阳光
free|adj. 免费的
enjoy|v. 享受；喜爱
easily|adj. 容易地
money|n. 钱
go along|沿着（这条街）走
turn left|向左转
turn right|向右转
enjoy doing something|乐于做 ..., 喜欢做 ...
curly|adj. 卷曲的
straight|adj. 直的
tall|adj. 高的
medium|adj. 中等的
height|n. 身高；高度
thin|adj. 瘦的
heavy|adj. 重的
tonight|adv. & n. （在）今晚；（在）今夜
little|adj. 小的
a little|一点；少量
may|modal v. 也许；可能；可以
cinema|n. 电影院
later|adv. 以后
handsome|adj. 英俊的
actor|n. 演员
actress|n. 女演员
person|n. 人
nose|n. 鼻子
blonde|adj. (blond) （头发）金黄色的
mouth|n. 嘴
round|adj. 圆形的
face|n. 脸
eye|n. 眼睛
singer|n. 歌手
artist|n. 艺术家
crime|n. 犯罪活动
criminal|n. 罪犯
put|v. 放
each|adj. & pron. 每个；各自
way|n. 方式；路线
describe|v. 描述
differently|adv. 不同地
another|adj. & pron. 另一；又一
end|n. 结尾；尽头
in the end|最后
real|adj. 真正的；真实的
jeans|n. 牛仔裤
medium height|中等身高
glass|n. 其复数形式为glasses，表示眼镜
noodle|n.（常用复数形式）面条
mutton|n. 羊肉
beef|n. 牛肉
cabbage|n. 卷心菜,洋白菜
potato|n. 土豆；马铃薯
special|n. 特色菜；特价品 adj. 特别的,特殊的
would|modal v.（表示意愿）愿意
would like|（表示意愿）愿意；喜欢
yet|adv.（常用于否定句或疑问句） 还,仍然
large|adj. 大号的；大的
order|n. & v. 点菜；命令
size|n. 大小；尺码
bowl|n. 碗
tofu|n. 豆腐
meat|n.（可食用的）肉
dumpling|n. 饺子
porridge|n. 粥；面糊
onion|n. 洋葱
fish|n. 鱼；鱼肉
pancake|n. 烙饼；薄饼
world|n. 世界
around the world|世界各地
answer|n. 答案 v. 回答
different|adj. 不同的
cake|n. 蛋糕
candle|n. 蜡烛
age|n. 年龄
make a wish|许愿
blow|n. 吹
blow out|吹灭
if|conj. 如果
will|v. 将要；会
the UK|(=the United Kingdom) n. 英国
candy|n. 糖果
lucky|adj. 幸运的
popular|adj. 受欢迎的；普遍的
cut up|切碎
idea|n. 想法；主意
take one's order|点菜
a bowl of|一碗
bring good luck to someone|给...带来好运
milk|v. 挤奶
cow|n. 奶牛
horse|n. 马
feed|v. (fed) 喂养；饲养
farmer|n. 农民；农场主
quite|adv. 相当；完全
anything|pron.任何东西；任何事物
grow|v. 种植；生长；发育
farm|n. 农场 v. 务农；种田
pick|v. 采；摘
excellent|adj. 极好的,优秀的
countryside|n. 乡村；农村
yesterday|adv. 昨天
flower|n. 花
worry|v. & n. 担心；担忧
luckily|adv. 幸运地；好运地
sun|n. 太阳
museum|n. 博物馆
fire|n. 火；火灾
fire station|消防站
painting|n. 油画；绘画
exciting|adj. 使人兴奋的；令人激动的
lovely|adj. 可爱的
expensive|adj. 昂贵的
cheap|adj. 廉价的；便宜的
slow|adj. 缓慢的；迟缓的
fast|adv. & adj. 快地（的）
robot|n. 机器人
guide|n. 导游；向导
gift|n. 礼物；赠品
all in all|总的说来
everything|pron. 所有事物；一切
interested|adj. 感兴趣的
be interested in|对…感兴趣
dark|adj.黑暗的；昏暗的
hear|v.（heard）听到；听见
a lot|许多
in the countryside|在乡下；在农村
camp|v. 扎营；搭帐篷
lake|n. 湖；湖泊
beach|n. 海滩；沙滩
badminton|n. 羽毛球运动
sheep|n. 羊, 绵羊
as|prep. 作为；当作
natural|adj. 自然的
butterfly|n. 蝴蝶
visitor|n. 游客；访问者
tired|adj. 疲倦的；疲劳的
stay|v. 停留；待
stay up late|深夜不睡；熬夜
away|adv. 离开；远离
run away|跑开
mouse|n.(pi. mice) 老鼠；耗子
baby|adj. 幼小的 n. 婴儿
shout|v. 呼叫；喊叫
shout at|冲…大声叫嚷
woof|interj.（狗叫声）汪汪
language|n. 语言
fly|v.(flew) 飞
kite|n. 风筝
fly a kite|放风筝
high|adj. & adv. 高的（地）
high school|中学
ago|adv. 以前
India|n. 印度
tent|n. 帐篷
put up|搭起；举起
moon|n. 月亮
each other|互相；彼此
surprise|n. 惊奇；惊讶 v. 使吃惊
snake|n. 蛇
scared|adj. 惊慌的；吓坏了的
move|v. 移动
start|v. 开始；着手
jump|v. 跳；跃
up and down|上上下下，起伏
wake|v. 弄醒；醒
wake up|把……弄醒
into|prep. 到……里面；进入
forest|n. 森林
ear|n. 耳朵






















