anyone|pron. 任何人
fall|v.  & n. 倒塌；跌倒；掉落 n. （美式）秋天
fall down|突然倒下；跌倒；倒塌
inside|adv. & prep. 在……里面
look for|寻找；寻求
possible|adj. 可能存在或发生的；可能的
impossible|adj. 不可能存在或发生的；不可能的
side|n. 一方（的意见、态度、立场）
probably|adv. 很可能；大概
during|prep. 在……期间
holiday|n. 假期；假日
word|n. 单词；词
shake|n. & v.  摇动；抖动
milk shake|奶昔
blender|n. 食物搅拌器
turn on|接通（电流、煤气、水等）；打开
peel|v. 剥皮；去皮
pour|v. 倒出；倾倒
yogurt|n. (=yoghurt) 酸奶
honey|n. 蜂蜜
watermelon|n. 西瓜
spoon|n. 勺；调羹
pot|n. 锅
add|v. 增加；添加
finally|adv. 最后；最终
salt|n. 食盐
sugar|n. 食糖
cheese|n. 干酪；奶酪
popcorn|n. 爆米花
corn|n. 玉米；谷物
machine|n. 机器；机械装置
dig|v.  掘（地）；凿（洞）；挖（土）
hole|n. 洞；孔；坑
sandwich|n. 夹心面包片；三明治
butter|n. 黄油；奶油
turkey|n. 火鸡
lettuce|n. 莴苣；生菜
piece|n. 片；块；段
thanksgiving|n. 感恩节
traditional|adj. 传统的；惯例的
autumn|n. 秋天；秋季
traveler|n. 漂泊者；旅行者；游客
England|英格兰
celebrate|v. 庆祝；庆贺
mix|n. 混合配料 v. （使）混合；融合
pepper|n. 胡椒粉；柿子椒
fill|v. （使）充满；装满
oven|n. 烤箱；烤炉
plate|n. 盘子；碟子
cover|v. 遮盖；覆盖 n. 覆盖物；盖子
gravy|n. （调味）肉汁
sever|v. 接待；服务；提供
temperature|n. 温度；气温；体温
prepare|v. 使做好准备；把……准备好
prepare for|为……做准备
exam|n.  考试
Go to the doctor|去看医生
flu|n. 流行性感冒；流感
available|adj. 有空的；可获得的
another time|其他时间；别的时间
until|conj. & prep. 到……时；直到……为止
hang|v. (hung /h??/) 悬挂；垂下
hang out|闲逛；常去某处
catch|v.  及时赶上；接住；抓住
invite|v. 邀请
accept|v. 接受
refuse|v. 拒绝
the day before yesterday|前天
the day after tomorrow|后天
weekday|n. 工作日（星期一至星期五的任何一天）
look after|照料；照顾
invitation|n. 邀请；请柬
turn down|拒绝
reply|v. 回答；答复
forward|v. 转寄；发送 adv. 向前；前进
delete|v. 删除
print|v. 打印；印刷
sad|adj. （令人）悲哀的；（令人）难过的
goodbye|interj. & n. 再见
glad|adj. 高兴；愿意
preparation|n. 准备；准备工作
glue|n. 胶水
without|prep. 没有；不（做某事）
look forward to|盼望；期待
hear from|接到（某人的）信、电话等
housewarming|n. 乔迁聚会
opening|n. 开幕式；落成典礼
concert|n. 音乐会；演奏会
headmaster|n. 校长
event|n. 大事；公开活动；比赛项目
guest|n. 客人；宾客
calendar|n. 日历；日程表
daytime|n. 白天；日间
surprised|adj. 惊奇的；感到意外的
take a trip|去旅行
help someone out|（帮助……）分担工作、解决难题
meeting|n. 会议；集会；会面
video|n. 录像带；录像
organize|v. 组织；筹备
potato chips|炸土豆片；炸薯条
chocolate|n. 巧克力
upset|adj. 难过；失望；沮丧
taxi|n. 出租汽车；的士
advice|n. 劝告；建议
travel|v. & n. 旅行；游历
agent|n. 代理人；经纪人
expert|n. 专家
keep to oneself|保守秘密
teenager|n. （13~19岁的）青少年
normal|adj. 正常的；一般的
unless|conj. 除非；如果不
certainly|adv. 无疑；肯定；当然；行
wallet|n. 钱包
mile|n. 英里
angry|adj. 发怒的；生气的
understanding|adj. 善解人意的；体谅人的
careless|adj. 粗心的；不小心的
mistake|n. 错误；失误
himself|pron. 他自己
careful|adj. 小心的；细致的；精心的；慎重的
advise|v. 劝告；建议
step|n. 步；步骤
trust|v. 相信；信任
experience|n. 经验；经历
in half|分成两半
halfway|adj. & adv. 在中途；部分地做（或达到）
else|adv. 别的；其他的
solve|v. 解决；解答






